pixel_id,skycell,frame_a,frame_b,sx_i_a,sy_i_a,sx_i_b,sy_i_b,dsi,dsj,roll_sign,frac_dist,raw_disagree,aligned_disagree,n_both_raw,n_both_aligned,same_int_key
center,skycell.2583.082,tess2020004172923-s0020-3-2-0165-s_ffic.fits.gz,tess2020013135923-s0020-3-2-0165-s_ffic.fits.gz,0,0,-3,-2,3,2,-1,0.2665907919916038,0.0513833747340097,0.005152503879179454,40857223,40857223,False
center,skycell.2583.082,tess2020004172923-s0020-3-2-0165-s_ffic.fits.gz,tess2020020065923-s0020-3-2-0165-s_ffic.fits.gz,0,0,-2,-3,2,3,-1,0.5478997035982223,0.05073773614031477,0.007969802548743951,40857223,40857223,False
center,skycell.2583.082,tess2020013135923-s0020-3-2-0165-s_ffic.fits.gz,tess2020020065923-s0020-3-2-0165-s_ffic.fits.gz,-3,-2,-2,-3,-1,1,-1,0.45333719709944625,0.027525022931685787,0.007687698206997573,40857223,40857223,False
cell_boundary_0a,skycell.2581.085,tess2020004172923-s0020-3-2-0165-s_ffic.fits.gz,tess2020013135923-s0020-3-2-0165-s_ffic.fits.gz,0,0,-2,-1,2,1,-1,0.5112835970791515,0.02279937136207226,0.007281870331715888,40857223,40857223,False
cell_boundary_0a,skycell.2581.085,tess2020004172923-s0020-3-2-0165-s_ffic.fits.gz,tess2020020065923-s0020-3-2-0165-s_ffic.fits.gz,0,0,1,-3,-1,3,-1,0.5962600971496189,0.04273325184141859,0.010555196078793705,40857223,40857223,False
cell_boundary_0a,skycell.2581.085,tess2020013135923-s0020-3-2-0165-s_ffic.fits.gz,tess2020020065923-s0020-3-2-0165-s_ffic.fits.gz,-2,-1,1,-3,-3,2,-1,0.911987267109094,0.04473032834365664,0.01621431784534157,40857223,40857223,False
ffi_edge,skycell.2625.004,tess2020004172923-s0020-3-2-0165-s_ffic.fits.gz,tess2020013135923-s0020-3-2-0165-s_ffic.fits.gz,0,0,-2,0,2,0,-1,0.3526013617365272,0.03786570204711281,0.004821110493347212,31869421,31869421,False
ffi_edge,skycell.2625.004,tess2020004172923-s0020-3-2-0165-s_ffic.fits.gz,tess2020020065923-s0020-3-2-0165-s_ffic.fits.gz,0,0,-1,-1,1,1,-1,0.05823516106309113,0.01800333931388336,0.0011214069392741731,31869421,31868895,False
ffi_edge,skycell.2625.004,tess2020013135923-s0020-3-2-0165-s_ffic.fits.gz,tess2020020065923-s0020-3-2-0165-s_ffic.fits.gz,-2,0,-1,-1,-1,1,-1,0.4089999908953114,0.023842872902151986,0.005567650838623839,31877786,31873766,False
projection_boundary_0a,skycell.2581.050,tess2020004172923-s0020-3-2-0165-s_ffic.fits.gz,tess2020013135923-s0020-3-2-0165-s_ffic.fits.gz,0,0,-2,-1,2,1,-1,0.09979764311534589,0.029821720452518158,0.0019423962638312699,40284262,40284262,False
projection_boundary_0a,skycell.2581.050,tess2020004172923-s0020-3-2-0165-s_ffic.fits.gz,tess2020020065923-s0020-3-2-0165-s_ffic.fits.gz,0,0,-1,-3,1,3,-1,0.47380758287415536,0.05482444387378383,0.008742617311593667,40284695,40284275,False
projection_boundary_0a,skycell.2581.050,tess2020013135923-s0020-3-2-0165-s_ffic.fits.gz,tess2020020065923-s0020-3-2-0165-s_ffic.fits.gz,-2,-1,-1,-3,-1,2,-1,0.5687531651860616,0.03641667805655718,0.010142708901014931,40284262,40282631,False
