pixel_id,skycell,sx_i,sy_i,n_in_bin,worst_frac_dist,worst_disagree,worst_d_tess_mean,typical_disagree_median,frac_span_x,frac_span_y
center,skycell.2583.082,-3,-3,4,0.1338617584177318,0.002266666666666667,0.0016157282173202537,0.0013333333333333335,0.10393210066104075,0.08436284027266083
center,skycell.2583.082,-3,-2,94,1.0881756284108355,0.0186,0.013331525210590958,0.006933333333333333,0.521876746959606,0.9753050261315366
center,skycell.2583.082,-3,-1,65,1.005506412113312,0.015133333333333334,0.012350070416279864,0.005166666666666667,0.31605399579711957,0.9799310105117911
center,skycell.2583.082,-3,0,33,1.16670118842402,0.016066666666666667,0.014166098872603639,0.005866666666666667,0.6863513732387219,0.9434582425965345
center,skycell.2583.082,-2,-3,94,1.235453830932222,0.016533333333333334,0.01501732625367282,0.007466666666666667,0.9638800067714328,0.8079225253641198
center,skycell.2583.082,-2,1,4,0.4275581634835702,0.007666666666666666,0.005246492796287328,0.0038333333333333336,0.08936851966427639,0.4264583881595172
center,skycell.2583.082,-1,1,3,0.07041221951569611,0.0008,0.0008512107637070916,0.0008,0.05200737050290627,0.06332532457599882
center,skycell.2583.082,0,0,59,1.0910484251629264,0.012933333333333333,0.013210716663902406,0.006,0.9600587796503532,0.5408924957882846
center,skycell.2583.082,0,1,3,0.14605164886674232,0.0027333333333333333,0.0017940283457901119,0.0007333333333333333,0.01159914592790301,0.1455903291789582
center,skycell.2583.082,1,0,59,1.0040648612135004,0.014733333333333333,0.01208063406577032,0.005066666666666666,0.9865432077913283,0.24845177728275303
center,skycell.2583.082,2,0,56,0.9747838048123555,0.0144,0.011717123641272663,0.004433333333333333,0.9680650542486546,0.2120253386310651
center,skycell.2583.082,3,-1,3,0.26153722726003487,0.0041333333333333335,0.0031391071797530518,0.0008666666666666666,0.260749628629128,0.03593803051262512
center,skycell.2583.082,3,0,48,0.990227790438296,0.0144,0.011908464813396366,0.005233333333333333,0.977140881901505,0.17719723812115262
center,skycell.2583.082,4,-1,10,0.7367172229977381,0.011266666666666666,0.008844377114943942,0.0027333333333333333,0.73664167899733,0.04772139671695186
center,skycell.2583.082,4,0,33,0.9677951603955903,0.014866666666666667,0.011615227339589149,0.005933333333333334,0.9664907490496262,0.1635032796220912
center,skycell.2583.082,5,-1,9,0.5640841342193276,0.0071333333333333335,0.006828577551585491,0.0030666666666666668,0.49482767999688804,0.3101560820468876
center,skycell.2583.082,5,0,13,0.5154488167357212,0.008333333333333333,0.00619364157767112,0.0033,0.5129821520786209,0.08757379002781818
cell_boundary_0a,skycell.2581.085,-2,-1,33,0.6131377583426,0.007333333333333333,0.007785194922973563,0.002966666666666667,0.2964185559858379,0.5413756388188631
cell_boundary_0a,skycell.2581.085,-2,0,62,1.0442999460546303,0.013,0.01325440753971621,0.004733333333333333,0.45841448214696356,0.987038988580025
cell_boundary_0a,skycell.2581.085,-2,1,42,0.9673482727705034,0.014866666666666667,0.012257855134896946,0.007033333333333334,0.2658997496282609,0.9355122657107131
cell_boundary_0a,skycell.2581.085,-2,2,19,1.1610244464826598,0.019066666666666666,0.014284256762206755,0.0046,0.728156353507984,0.9836737492551038
cell_boundary_0a,skycell.2581.085,-1,-2,51,0.9830042967477663,0.014933333333333333,0.012429950941926012,0.004266666666666667,0.688661092280654,0.7124048110890726
cell_boundary_0a,skycell.2581.085,-1,-1,43,0.5877997946683838,0.0072,0.007455234623592378,0.003033333333333333,0.3650747024453267,0.5167528032470727
cell_boundary_0a,skycell.2581.085,-1,2,3,0.33114992839033325,0.0058,0.004111107031531852,0.0044,0.113775800708936,0.310990903799393
cell_boundary_0a,skycell.2581.085,0,-3,20,0.5814251755260208,0.010533333333333334,0.007190780609979474,0.0037666666666666664,0.5696485496359855,0.2172066192397324
cell_boundary_0a,skycell.2581.085,0,-2,22,0.5574291740354834,0.009333333333333334,0.0070139848454973865,0.0028333333333333335,0.4527522691687409,0.33150003211630974
cell_boundary_0a,skycell.2581.085,0,-1,7,0.0890842171574895,0.0011333333333333334,0.0010956801199932253,0.0006,0.08899533566500395,0.04276017163283541
cell_boundary_0a,skycell.2581.085,0,0,102,1.0437243125468,0.0128,0.01325029719296042,0.004633333333333333,0.6168771180273325,0.9507391324004857
cell_boundary_0a,skycell.2581.085,0,1,10,0.2718390000840815,0.004266666666666667,0.0033405325492762566,0.0018666666666666666,0.15473070359757912,0.22350581945647718
cell_boundary_0a,skycell.2581.085,1,-3,2,0.20031800676975192,0.0031333333333333335,0.002528957876588135,0.0031333333333333335,0.018040432697944198,0.199504001524474
cell_boundary_0a,skycell.2581.085,1,-1,102,1.334073891296078,0.020533333333333334,0.016860938990515998,0.0083,0.9843934706232176,0.9360222105860885
cell_boundary_0a,skycell.2581.085,2,-2,52,1.0209761035719984,0.016666666666666666,0.012786001558780243,0.0048000000000000004,0.8977851680051572,0.5170169747216278
cell_boundary_0a,skycell.2581.085,2,-1,3,0.07651860223920164,0.0015333333333333334,0.0009524290067255242,0.0015333333333333334,0.073883693415155,0.025082477142859716
cell_boundary_0a,skycell.2581.085,3,-3,6,0.43248015823703057,0.006733333333333333,0.005471675457387945,0.004033333333333333,0.2922473073626861,0.3187955435823824
cell_boundary_0a,skycell.2581.085,3,-2,12,0.48321448458673766,0.007,0.006097969932577442,0.0031000000000000003,0.37937117738101733,0.3222006652104028
ffi_edge,skycell.2625.004,-3,0,43,0.5139627520669822,0.0078,0.0061350551221579855,0.003033333333333333,0.22548056612322398,0.5031425439883606
ffi_edge,skycell.2625.004,-3,1,61,0.8014929219294883,0.0124,0.009612855148257398,0.004166666666666667,0.3804353209634428,0.7825753263314255
ffi_edge,skycell.2625.004,-2,-1,73,0.8427232052000282,0.011133333333333334,0.010119360275953473,0.0037333333333333333,0.6475324886314411,0.5702855376985099
ffi_edge,skycell.2625.004,-2,0,73,0.8110968092725793,0.011066666666666667,0.00975104625411728,0.0034666666666666665,0.41527792443457656,0.7011184876791958
ffi_edge,skycell.2625.004,-2,1,4,0.3007661260950191,0.0037333333333333333,0.003578834877083375,0.0017666666666666666,0.1930007802302498,0.23067501259720302
ffi_edge,skycell.2625.004,-2,2,4,0.5286398393335031,0.009,0.006331393113442078,0.006533333333333334,0.19354555186964717,0.5034165974393545
ffi_edge,skycell.2625.004,-1,-1,38,0.6887441360314129,0.0098,0.008275915179358362,0.002333333333333333,0.6197572116711854,0.3389349609242345
ffi_edge,skycell.2625.004,0,-1,3,0.10805972628558969,0.0008666666666666666,0.0013000925779974143,0.0008666666666666666,0.07427938372302378,0.07848233940603677
